## Unknown:

  29785186: 29785186
  32112219: 32112219
  33823951: 33823951
  35409324: 35409324
  35548184: 35548184
  35907871: 35907871
  36434497: 36434497
  36435131: 36435131
  36571082: 36571082
  37023586: 37023586
  37141740: 37141740
  38447371: 38447371
  38461545: 38461545
  38781006: 38781006
  3FingerAnimationSwitchApps: 36221438
  3FingerAnimationTimer: 41516800
  40782046: 40782046
  41121001: 41121001
  41356296: 41356296
  41981645: 41981645
  42032617: 42032617
  42515682: 42515682
  42916428: 42916428
  AADAclCertificateForNetworkService: 37014609
  AADBindingTokenLogonForRDP: 25585329
  AADClientCloudApCookieCache: 39125862
  AADClientIDForPRTHeader: 36670474
  AADClientRemoveNonce: 0
  AADClientRemoveNonceCloudAP: 39844435
  AADCrossCloudB2BWAMSupport: 25510753
  AADKDFContextV2: 28991043
  AADRecoveryPasswordDeletion: 26987393
  AADShowErrorInUI: 0
  AADSupportInvalidateCacheAsyncInPlugin: 0
  AADTokenBindingSupportInCloudAP: 37330117
  AADV2EndpointSupport: 0
  AADVirtualDesktopTagging: 34862216
  ADC: 40642155
  ADFSKDFContextV2: 31335338
  AFGU: 40838411
  ANCID: 43021120
  ASFWBoost: 0
  ASFWWokenHotKeyFix: 0
  ASRTest: 38888144
  AbydosInfra: 0
  AccessRegistryLockAcquireCount: 0
  AccessibilityFlyoutRejuvenation: 36416085
  AccountsGroup_FirstPartySilentEnumSecondarySSO: 12509893
  AccountsServiceUdk: 28237372
  AclMinimization: 39720189
  ActionCenterNotification: 8598334
  AddDataToRequestGETMethod: 42948817
  AddLoggedInUserToFamilyRoster: 36462142
  AddPhoneButton: 11618552
  AddSourceWindowFromViewNavigationRequested: 9205753
  AddSwitchAsyncContextToPositionerActivations: 9582236
  AddTextToSpeechPackages: 13516602
  AddTouchKeyboardHeuristics: 36949545
  AdminFlowFlyoutsRejuv_Master: 40116153
  AdminFlowRejuv_DateTime: 39811196
  AdminFlowRejuv_EnterProductKeyPage: 42733866
  AdminFlowRejuv_FeaturedReset: 41598133
  AdminFlowRejuv_Framework: 40545732
  AdminFlowRejuv_Master: 36390579
  AdminFlowRejuv_RenamePC: 38228963
  AdminFlowRejuv_TroubleshootActivation: 42739793
  AdminFlowRejuv_UninstallOS: 41670003
  AdvancedColorBrightnessSlider: 12259052
  AdvancedColorSettingsPage: 10834416
  AeroShakeEnabled: 29983356
  AgentActivationRuntimeAPI_AboveLock: 20829994
  AlarmsOnlyDeprecation: 36133780
  AllowCustomSSPsAPs: 37242222
  AllowExperimentalFeatures: 0
  AllowExtensionsDuringAppServicing: 42184649
  AllowImpersonationTokenToWorkOnCallToCdsUdkApis: 41309836
  AllowOemToForceNightLightUsingDES: 34718006
  AllowProcessingColorFiltersOnHardware: 39905418
  AllowUseUIAToFindSelectedText: 39554671
  AltTabModal: 36226836
  AlwaysAttemptPrompts: 40329214
  AlwaysBlockNonPackaged: 40329231
  AmbientDeviceLighting: 35262205
  AnaheimEdgeDetailedView: 30031104
  AnimatedNavigationIcons: 34878152
  AnnotatedScrollBarForGallery: 40626874
  Annotations: 12221178
  ApiLogging: 22006889
  AppBackgroundPermissions: 29616923
  AppContainerPFN: 0
  AppDefaultVersionForPolicy: 23954010
  AppInstallBatching: 6867405
  AppIsolationSeparateSublayer: 0
  AppLaunchDb: 37347557
  AppPicker: 36302090
  AppSiloBrokerShellObjects: 41312981
  AppSiloFileExplorerContextMenus: 43031342
  AppUriHandlerWildcardSupport: 11539576
  ApplicationFrameHostPerformanceImprovements: 39717744
  ApplicationFrameTitleFromWindowManager: 26290763
  ApplicationGuardDownloadToHost: 13740217
  AppraiserSVChecks: 32064666
  AppsFolderChangeNotify: 37601784
  AppxOptimizationsInAuditMode: 39662856
  ArbiterMetadataContainer: 38339672
  ArchFavored: 0
  Arm64ecAsm: 36970910
  ArrowKeysUnselect: 17685567
  ArticulatedHand2DInteraction: 18127454
  AsyncVmBusMessages: 0
  AttributeManagerSingleton: 37586555
  AttributeProvidersConcurrentRefresh: 39379499
  Audio_MultiChannelRenderAttempted: 11831216
  Audio_Spatial_VSSPlayed: 11901839
  AuditGdi32LoadForFontdrvhost: 0
  AugmentedEntryPoint: 36226054
  AugmentedEntryPointBadging: 36718398
  AugmentedEntryPointNextToSystray: 42298101
  AusterityModeEnabled: 42470970
  AuthorityChangesForAGC: 0
  AutoGameMode: 11015710
  AutoGameModeProfile: 11650261
  AutoGamePowerProfile: 14290802
  AutoInitSystemMRTResourceManager: 36329833
