## Unknown:

  33823951: 33823951
  35409324: 35409324
  35907871: 35907871
  36434497: 36434497
  36435131: 36435131
  36571082: 36571082
  37023586: 37023586
  37141740: 37141740
  3FingerAnimationSwitchApps: 36221438
  AADAclCertificateForNetworkService: 37014609
  AADBindingTokenLogonForRDP: 25585329
  AADClientIDForPRTHeader: 36670474
  AADKDFContextV2: 28991043
  AADRecoveryPasswordDeletion: 26987393
  AADShowErrorInUI: 19235072
  AADSupportInvalidateCacheAsyncInPlugin: 19583676
  AADVirtualDesktopTagging: 34862216
  AADWAMUniversalID: 22516394
  ADFSKDFContextV2: 31335338
  AMPPLToast: 33129880
  AccessRegistryLockAcquireCount: 0
  AccessibilityFlyoutRejuvenation: 0
  AccountsGroup_FirstPartySilentEnumSecondarySSO: 12509893
  AccountsServiceUdk: 28237372
  ActionCenterNotification: 8598334
  AddLoggedInUserToFamilyRoster: 36462142
  AddPhoneButton: 11618552
  AddSourceWindowFromViewNavigationRequested: 9205753
  AddSwitchAsyncContextToPositionerActivations: 9582236
  AddTextToSpeechPackages: 13516602
  AdvancedColorBrightnessSlider: 12259052
  AdvancedColorSettingsPage: 10834416
  AeinvLock: 37678576
  AepicLock: 37712552
  AeroShakeEnabled: 29983356
  AgentActivationRuntimeAPI_AboveLock: 20829994
  AlarmsOnlyDeprecation: 36133780
  AllowCustomSSPsAPs: 37242222
  AllowOemToForceNightLightUsingDES: 34718006
  AllowOutOfProcIExplorerCommandSetForeground: 25176540
  AllowRenameOfExtensionOnlyFiles: 20240189
  AltTabModal: 36226836
  AltTabModalShadow: 37834869
  AnaheimEdgeDetailedView: 30031104
  Annotations: 12221178
  ApiLogging: 22006889
  AppBackgroundPermissions: 29616923
  AppDataBackupRestore: 35763176
  AppDefaultVersionForPolicy: 23954010
  AppDefaultsAutoSuggestBox: 33154494
  AppDefaultsBrowserButton: 36648580
  AppInstallBatching: 6867405
  AppIsolationSeparateSublayer: 6268226
  AppLaunchDb: 37347557
  AppUriHandlerWildcardSupport: 11539576
  AppVContainer: 8295088
  AppWindowProjection: 26212670
  ApplicationFrameTitleFromWindowManager: 26290763
  ApplicationGuardDownloadToHost: 13740217
  AppraiserSVChecks: 32064666
  AppsFolderChangeNotify: 37601784
  ArbiterMetadataContainer: 38339672
  ArrowKeysUnselect: 17685567
  ArticulatedHand2DInteraction: 18127454
  ArticulatedHandData: 17781907
  AsyncVmBusMessages: 0
  AtomicCheckFailure: 0
  AttributeManagerSingleton: 37586555
  AudioEndpointBuilderTopoPerfImp: 27511625
  Audio_MultiChannelRenderAttempted: 11831216
  Audio_Spatial_VSSPlayed: 11901839
  AuditBehaviorShellExperience: 37014865
  AuditGdi32LoadForFontdrvhost: 0
  AugmentedEntryPoint: 36226054
  AuthorityChangesForAGC: 25884645
  AutoGameMode: 11015710
  AutoGameModeProfile: 11650261
  AutoGamePowerProfile: 14290802
  AutoInitSystemMRTResourceManager: 36329833
  AutopilotReset: 21412447
  AutopilotRestoration: 37048941
  AutopilotUpdateInOobe: 18248749
  AvoidCreatingViewWhileSuspending: 33362568
  BAM_SeverParentChildConnections: 36646996
  BIPATimers: 35741749
  BSTAImmersiveShell: 37077905
  BackgroundInstalls: 37746346
  BackupUsoStore: 36845438
  BamQosGrouping: 0
  BannerOpportunity: 13686160
  BannersCanTargetKnownFolders: 17202054
  BannersKFMTemplate: 14105151
  BatteryNotificationsApplyAll: 27883184
  BioFeedbackOnXamlIsland: 31517562
  BitLockerRemovableDrivesExcludedFromEncryptionCspNode: 31583761
  BitLocker_Encrypt_All_Drives: 13686439
  BitLocker_RP_AAD_Backup_Check: 21341508
  BitLocker_RP_Backup_Monitor: 36481772
  BlackForestShellSupport: 10960001
  BluetoothA2DPSink: 4450109
  BluetoothA2dpAacSupport: 0
  BluetoothA2dpOffloadSupport: 0
  BluetoothAutoConnectionEstablishmentProcedure: 0
  BluetoothConvergedAvrcp: 10826832
  BluetoothConvergedHfp: 7639556
  BluetoothEnhancedRadioDiagnostics: 0
  BluetoothFlyout_WCOSCDG: 19919111
  BluetoothHfpHF: 4854405
  BluetoothL2: 29881313
  BluetoothProximityPlatform: 17815254
  BluetoothUnifiedAudioEndpoint: 20624938
  BoostOnDragSize: 0
  Brain_BinaryFileValidation: 34806659
  Brain_DisableStateUpdateInAppContainer: 38726312
  Brain_SkipSelfIfSxSNotVersioned: 38762750
  Brokered_Win32_File_APIs: 0
  BthA2dpAbsoluteVolume: 153764
  BufferCommands: 7471763
  BugFix31829865: 31829865
  BugFix31829903: 31829903
  BugFix31851003: 31851003
  BugFix33456184: 33456184
  BugFix34683034: 34683034
  BugFix35364902_Refactor: 35364902
  BugFix35366473_HideDictationForVoiceAccess: 35366473
  BugFix36335292_MakeLayoutPositionButtonCollapsed: 36335292
  BugFix36938728_HideToolBarOnLockScreen: 36938728
  BugFix37289095: 37289095
  BugFix37403713: 37403713
  BugFix37803519_VisualIssues: 37803519
  BugFix37826815_RegistrySettings: 37826815
  BugFix37935345: 37935345
  BugFix38048044_PreloadIssues: 38048044
  BugFixCHSConversionListStyle: 33343659
  BugFixForSV2CraftAndTheme: 35046510
  BugFixHwpNoCandidates: 34886873
  BugFixTabTipAdapterNullCheck: 34370999
  BugFix_DisableShapeWritingOnGestureCusror: 36684004
  BugFix_PasswordFeedbackAnimation: 35249410
  BugFix_VoiceTypingInvocationByShellViewCoordinator: 36862943
  CBRAppListRestore: 35460598
  CBRS: 29855943
  CDMLiteVersion: 33572137
  CDM_WEXPIntegration: 28150355
  CET_Kernel_Shadow_Stacks: 19770572
  CFD_CreateTestFile: 25493466
  CGDefaultEnable: 34857562
  CPSSHostImplementation: 27385849
  CShellOnWindowManagerIDK: 22855141
  CShellSettingsSearchbox: 19920047
  CUICOORD: 28330126
  CacheCleanup: 37066007
  CallScenarioCenterAlignNotifications: 35595222
  CameraRollUpload: 31558405
  CanUserGiveConsent: 25943177
  CandidateWindowOnLogonMitigation: 36730529
  CandidateWindowV2ModelCleanup: 36815292
  CastInterimCombinedExperience: 36646826
  CastProjectL2s: 35221101
  CdplProtectKnownUserFolders: 21852964
  CentennialBanners: 13294624
  CentennialCloudFilesRegistration: 8481732
  CentennialCloudFilesUninstallCleanup: 13381010
  CentennialIExplorerCommand: 5643234
  CentennialPreviewHandlers: 8284466
  CentennialPropertyHandlers: 8221526
  CentennialRibbonNewMenuInvoke: 32160382
  CentennialSetKnownFolder: 13133736
  CentennialShellNew: 6688715
  CentennialSkipCloudDownload: 16669717
  CertInUse_Telemetry: 0
  ChangeDumpTypeByTelemetryLevel: 37733775
  ChangeNotify_Threadpool: 31037754
  ChangeSignatureTrustAnchor: 23882506
  ChangeStartLayout: 35907865
  ChatIconBadging: 31581781
  CheckBoxImageListHandleLeak_36884240: 36884240
  ChineseSimplifiedImeTheming_OSClient: 35746557
  ChsNarrowKeyboard: 36963879
  CldFltBlockSession0Hydration: 0
  ClientRecoveryPasswordRotation: 18157663
  ClipboardHistorySettingsRejuv: 31731897
  ClipboardRetries: 25277690
  CloudBMRSingleDownload: 37065183
  CloudDownloadAndGo: 7007735
  CloudExperienceHostRedirection: 25357983
  CloudExperienceHostRedirectionBinary: 27980645
  CloudFileAppInitiatedHydration: 8302267
  CloudFileCopyHook: 23685927
  CloudFileDisguisePlaceholders: 0
  CloudFileDisguisePlaceholdersForGUIApps: 0
  CloudFileNavPaneAllPrimaryStates: 13822262
